delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000,exp,0,0,0,4,0.024719599867239594,,0.018445099936798215,0.024719599867239594,1.0087889998685569,1.0087889998685569,1.0250611000228673,9.216592299984768,space,8.08526930003427,None,9.219029099913314,9.620926666601251,9.940381299937144,9.92208159994334,9.922164299990982,9.940381299937144,9.940381299937144,9.940381299937144,12.50698469998315,500,1,[2.5821883999742568],[2.582204799866304],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,400,unexp,0,1,1,0,12.521138499956578,,12.509281300008297,12.521138499956578,13.52199999988079,13.52199999988079,13.52199999988079,17.428148000035435,space,3.8916648000013083,None,17.429052299819887,17.54309436661812,17.854546800022945,17.838852599961683,17.83888809988275,17.854546800022945,17.854546800022945,17.854546800022945,20.04778529983014,200,1,[2.206783999921754],[2.2067988999187946],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,0,2,2,7,20.062877499964088,,20.04917569993995,20.062877499964088,21.064453899860382,21.064453899860382,21.064453899860382,21.51579670002684,space,0.4427614000160247,None,21.516450699884444,21.931578166612113,22.24505289993249,22.228926099836826,22.228952399920672,22.24505289993249,22.24505289993249,22.24505289993249,27.890675999922678,400,1,[5.659865099936724],[5.6598815999459475],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,400,unexp,0,3,3,2,27.905312899965793,,27.893136699916795,27.905312899965793,28.906491399975494,28.906491399975494,28.906491399975494,29.342228499939665,space,0.4316841000691056,None,29.342852599918842,30.057302066652724,30.3731616998557,30.359361399896443,30.35939639993012,30.3731616998557,30.3731616998557,30.3731616998557,35.64877810003236,300,1,[5.2876409001182765],[5.2876510000787675],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,400,unexp,0,4,4,1,35.663687699940056,,35.650072399992496,35.663687699940056,36.664052499923855,36.664052499923855,36.664052499923855,37.14923189999536,space,0.4802983000408858,None,37.14980029989965,37.54918336664947,37.86325279995799,37.84895489993505,37.848992199869826,37.86325279995799,37.86325279995799,37.86325279995799,41.17202719999477,300,1,[3.3205766000319272],[3.3205917000304908],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,0,5,5,11,41.18580109998584,,41.1734509000089,41.18580109998584,42.18687379988842,42.18687379988842,42.18687379988842,43.473327100044116,space,1.2810271000489593,None,43.47405550000258,44.189768866697946,44.50149519997649,44.489292699843645,44.489374900003895,44.50149519997649,44.50149519997649,44.50149519997649,47.553926300024614,500,1,[3.062231499934569],[3.0622465999331325],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,0,6,6,6,47.56164339999668,,47.55572639987804,47.56164339999668,48.56053619994782,48.56053619994782,48.56053619994782,50.897931299870834,space,2.3270333998370916,None,50.898765299934894,51.01351036649818,51.32288130000234,51.30896519985981,51.30899899988435,51.32288130000234,51.32288130000234,51.32288130000234,55.97022609994747,200,1,[4.659255899954587],[4.659265799913555],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,0,7,7,3,55.98554919986054,,55.970998199889436,55.98554919986054,56.97066290001385,56.97066290001385,56.9870170999784,58.33903759997338,space,1.365268100053072,None,58.33953549992293,58.43858256662885,58.76043749996461,58.73997400002554,58.740019999910146,58.76043749996461,58.76043749996461,58.76043749996461,61.94345479994081,100,1,[3.2012389001902193],[3.2012513000518084],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,0,8,8,10,61.958929599961266,,61.94446829985827,61.958929599961266,62.94336749985814,62.94336749985814,62.96008749981411,64.61446079984307,space,1.6553456999827176,None,64.61538390000351,65.02955076663444,65.35177219985053,65.32957079983316,65.32961749983951,65.35177219985053,65.35177219985053,65.35177219985053,67.80021169991232,200,1,[2.46843110001646],[2.4684399999678135],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,0,9,9,9,67.81518689985387,,67.80108090001158,67.81518689985387,68.79999760002829,68.79999760002829,68.81668239994906,71.13718039984815,space,2.3288636000361294,None,71.137938400032,71.25261416664968,71.57296020002104,71.54957729997113,71.54963649995625,71.57296020002104,71.57296020002104,71.57296020002104,75.0742432998959,400,1,[3.521835600025952],[3.521844900213182],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
